sku,nombre,precio,stock,categoria,marca,imagen,descripcion
1856514GRENCOLO,Neumático 185/65R14 86H Grenlander Colo H02,39900,8,neumaticos,grenlander,https://images.unsplash.com/photo-1578844251758-2f71da64c96f?w=600&auto=format&fit=crop,Neumático H/T aro 14. Diseño asimétrico banda 5 bloques buen desempeño en mojado.
1856514ROADH11,Neumático 185/65R14 86H Roadx RXMotion H11,46900,4,neumaticos,roadx,https://images.unsplash.com/photo-1543465077-db45d34b88a5?w=600&auto=format&fit=crop,Neumático H/T aro 14. Buen ahorro de combustible y manejo silencioso.
1757014DELMUP1,Neumático 175/70R14 88T Delmax UltimaPro UP1,42900,4,neumaticos,delmax,https://images.unsplash.com/photo-1578844251758-2f71da64c96f?w=600&auto=format&fit=crop,Neumático H/T aro 14. Alta durabilidad y excelente agarre en carretera.
2457516MR,Neumático 245/75R16 111S Mirage MR-AT172,89900,4,neumaticos,mirage,https://images.unsplash.com/photo-1543465077-db45d34b88a5?w=600&auto=format&fit=crop,Neumático A/T aro 16 para SUV/4x4 con tracción todoterreno.
MR166155-13,Neumático 155/65R13 73T Mirage MR166,30900,4,neumaticos,mirage,https://images.unsplash.com/photo-1578844251758-2f71da64c96f?w=600&auto=format&fit=crop,Neumático H/T aro 13 ideal para autos compactos y eficientes.
COMPASAL20560,Neumático 205/60R16 92V Compasal Blazer HP,49900,6,neumaticos,compasal,https://images.unsplash.com/photo-1543465077-db45d34b88a5?w=600&auto=format&fit=crop,Neumático de alto rendimiento para sedanes y SUVs medianos.
H4LEDBRM,Ampolleta H4 LED T4 BRM 3543 Lúmenes 6000-6500K,29990,12,iluminacion,brm,https://cdnx.jumpseller.com/weitcar/image/58572743/resize/1200/1200,Ampolleta LED H4 bivoltaje 9-30V diseño compacto de alta potencia luminosa.
H7LEDBRM,Ampolleta H7 LED T4 BRM 6000K Super Blanco,29990,10,iluminacion,brm,https://cdnx.jumpseller.com/weitcar/image/63504704/resize/1200/1200?1747414593,Ampolleta LED H7 proyector de largo alcance con disipación de calor integrada.
PLUM-WFB16,Plumilla Würth Flatblade 16 pulgadas,6990,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla sin marco (flat blade) caucho con grafito para barrido silencioso.
PLUM-BRM12,Plumilla Trasera BRM 12 pulgadas,7990,10,plumillas,brm,https://todoparts.cl/wp-content/uploads/2025/11/1-19-600x600.jpg,Plumilla trasera universal multicalibre de alto desempeño.
PLUM-BRMF10,Plumilla Trasera BRM Flat 10 pulgadas,7990,10,plumillas,brm,https://todoparts.cl/wp-content/uploads/2026/03/plumillaflat10pulgadas-600x600.png,Plumilla trasera tipo flat compatible Chevrolet Sonic/Trax y modelos compactos.
PLUM-WFB14,Plumilla Würth Flatblade 14 pulgadas,6990,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla aero flat sin marco con teflón y recubrimiento anticorrosión.
PLUM-WFB20,Plumilla Würth Flatblade 20 pulgadas,7990,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla aerodinámica premium para parabrisas de tamaño mediano.
PLUM-WFB24,Plumilla Würth Flatblade 24 pulgadas,8990,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla flatblade de gran tamaño con adaptadores universales.
PLUM-WFB22,Plumilla Würth Flatblade 22 pulgadas,8490,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla Würth sin marco de alta adherencia y máxima visibilidad en lluvia.
PLUM-WSTD14,Plumilla Würth Standard 14 pulgadas,5990,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla estándar metálica de alta resistencia a la intemperie.
PLUM-WSTD16,Plumilla Würth Standard 16 pulgadas,6490,10,plumillas,wurth,https://todoparts.cl/wp-content/uploads/2025/10/1-3-600x600.jpg,Plumilla tradicional metálica reforzada Würth 16 pulgadas.
PREST-ASIAZUL,Prestone Max Vehículos Asiáticos Azul 3.78L,21990,10,refrigerantes,prestone,https://cgmotors.cl/wp-content/uploads/2025/08/Anticongelante-Refrigerante-Prestone-Max-Azul-Asian-3.78L-1-Galon.jpg,"Anticongelante/refrigerante 50/50 listo para usar en Honda, Nissan, Subaru."
PREST-BUGWASH,Prestone Bugwash Limpia Parabrisas 3.78L,9990,12,limpieza,prestone,https://www.hkrepuestos.cl/wp-content/uploads/2023/07/Sin-titulo-1-7-600x600.jpg,Líquido limpiaparabrisas desincrustante de insectos y repelente de lluvia.
PREST-ASIROJO,Prestone Max Vehículos Asiáticos Rojo 3.78L,21990,10,refrigerantes,prestone,https://www.hkrepuestos.cl/wp-content/uploads/2023/07/PRODUCTOS-WEB-6-600x600.jpg,"Refrigerante 50/50 formulado especialmente para Toyota, Lexus y Scion."
PREST-ASIVERDE,Prestone Max Vehículos Asiáticos Verde 3.78L,21990,10,refrigerantes,prestone,https://www.hkrepuestos.cl/wp-content/uploads/2023/07/1-9-600x600.jpg,"Refrigerante listo para usar para vehículos asiáticos verdes (Hyundai, Kia, Mazda)."
PREST-EURROSA,Prestone Max Vehículos Europeos Rosa 3.78L,19351,10,refrigerantes,prestone,https://www.hkrepuestos.cl/wp-content/uploads/2023/07/PRODUCTOS-WEB-4-600x600.jpg,"Para BMW, Mini, Volvo, Mercedes, VW/Audi. Protección avanzada contra corrosión."
PREST-EURAZUL,Prestone Max Vehículos Europeos Azul 3.78L,21990,10,refrigerantes,prestone,https://cgmotors.cl/wp-content/uploads/2025/08/Anticongelante-Refrigerante-Prestone-Max-Blue-European-3.78L-1-Galon.jpg,Refrigerante orgánico de larga duración para motorizaciones europeas.
PREST-DEXCOOL,Anticongelante Coolant Prestone DexCool 50% 3.78L,18990,10,refrigerantes,prestone,https://www.hkrepuestos.cl/wp-content/uploads/2023/07/PRODUCTOS-WEB-8-600x600.jpg,Fórmula homologada GM DexCool 50/50 lista para usar de máxima transferencia térmica.
MOTUL6100FE,Aceite Motor Motul 6100 Syn-Clean FE 5W30 5L,38990,8,lubricantes,motul,https://images.unsplash.com/photo-1615906655593-ad0386982a0f?w=600&auto=format&fit=crop,Aceite sintético Technosynthese para motores gasolina y diésel con DPF/Catalizador.
WURTH-SEG10,Aspirador Limpiatapicerías Würth SEG 10 Compact,349900,2,limpieza,wurth,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=600&auto=format&fit=crop,Equipo profesional de inyección y extracción para limpieza de interiores automotrices.
WURTH-CARRO,Carro de Taller Würth 6 Cajones Profesional,289900,2,limpieza,wurth,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?w=600&auto=format&fit=crop,Carro de taller 6 cajones en acero laminado con capacidad de 20kg por cajón.
